departamento,year,month,chirps_precip_mm
Caldas,2025,2,390.0967
Caldas,2025,3,301.70996
Caldas,2025,4,383.29202
Caldas,2025,5,302.97607
Caldas,2025,6,268.7821
Caldas,2025,7,78.247375
Caldas,2025,8,282.79947
Caldas,2025,9,223.83325
Caldas,2025,10,338.93958
Caldas,2025,11,288.76947
Caldas,2025,12,159.30661
Caldas,2026,1,313.21994
Caldas,2026,2,329.82736
Cauca,1981,1,145.15388
Cauca,1981,2,241.05862
Cauca,1981,3,272.6123
Cauca,1981,4,361.09207
Cauca,1981,5,373.97635
Cauca,1981,6,248.29004
Cauca,1981,7,182.74144
Cauca,1981,8,180.64789
Cauca,1981,9,162.5763
Cauca,1981,10,271.37372
Cauca,1981,11,329.2692
Cauca,1981,12,277.25583
Cauca,1982,1,278.51627
Cauca,1982,2,280.14264
Cauca,1982,3,268.07324
Cauca,1982,4,358.35364
Cauca,1982,5,338.90894
Cauca,1982,6,192.15192
Cauca,1982,7,186.31923
Cauca,1982,8,135.97237
Cauca,1982,9,250.13332
Cauca,1982,10,369.28754
Cauca,1982,11,321.06516
Cauca,1982,12,365.30817
Cauca,1983,1,168.35031
Cauca,1983,2,183.92346
Cauca,1983,3,289.3534
Cauca,1983,4,339.26328
Cauca,1983,5,325.0161
Cauca,1983,6,203.48085
Cauca,1983,7,216.03252
Cauca,1983,8,162.2583
Cauca,1983,9,201.35832
Cauca,1983,10,361.8248
Cauca,1983,11,350.2005
Cauca,1983,12,356.2794
Cauca,1984,1,322.59622
Cauca,1984,2,337.90482
Cauca,1984,3,227.35995
Cauca,1984,4,304.83585
Cauca,1984,5,297.43906
Cauca,1984,6,259.15656
Cauca,1984,7,234.28703
Cauca,1984,8,228.81438
Cauca,1984,9,300.67883
Cauca,1984,10,374.86853
Cauca,1984,11,317.46066
Cauca,1984,12,228.3023
Cauca,1985,1,211.38362
Cauca,1985,2,111.062355
Cauca,1985,3,108.28289
Cauca,1985,4,247.1804
Cauca,1985,5,260.21973
Cauca,1985,6,184.8335
Cauca,1985,7,212.91658
Cauca,1985,8,207.71623
Cauca,1985,9,243.95018
Cauca,1985,10,252.81259
Cauca,1985,11,257.78754
Cauca,1985,12,175.47598
Cauca,1986,1,266.53427
Cauca,1986,2,243.02826
Cauca,1986,3,263.7177
Cauca,1986,4,298.62442
Cauca,1986,5,297.59323
Cauca,1986,6,221.61345
Cauca,1986,7,172.2041
Cauca,1986,8,168.01617
Cauca,1986,9,234.25603
Cauca,1986,10,420.77426
Cauca,1986,11,311.36578
Cauca,1986,12,198.13477
Cauca,1987,1,191.22739
Cauca,1987,2,179.17186
Cauca,1987,3,219.64662
Cauca,1987,4,315.46622
Cauca,1987,5,305.8946
Cauca,1987,6,223.02817
Cauca,1987,7,256.3912
Cauca,1987,8,208.08348
Cauca,1987,9,222.44609
Cauca,1987,10,393.9212
Cauca,1987,11,274.84872
Cauca,1987,12,197.3281
Cauca,1988,1,189.94446
Cauca,1988,2,212.95308
Cauca,1988,3,156.11911
Cauca,1988,4,340.66183
Cauca,1988,5,272.44736
Cauca,1988,6,303.4757
Cauca,1988,7,230.29134
Cauca,1988,8,183.84946
Cauca,1988,9,232.09317
Cauca,1988,10,255.55713
Cauca,1988,11,454.92258
Cauca,1988,12,280.81406
Cauca,1989,1,292.7522
Cauca,1989,2,203.06703
Cauca,1989,3,267.71948
Cauca,1989,4,282.18643
Cauca,1989,5,372.4709
Cauca,1989,6,280.58173
Cauca,1989,7,226.41261
Cauca,1989,8,212.2398
Cauca,1989,9,289.29495
Cauca,1989,10,415.73138
Cauca,1989,11,273.70435
Cauca,1989,12,232.89868
Cauca,1990,1,192.7543
Cauca,1990,2,238.2358
Cauca,1990,3,227.01
Cauca,1990,4,318.15512
Cauca,1990,5,301.98978
Cauca,1990,6,233.36726
Cauca,1990,7,251.14519
Cauca,1990,8,121.33998
Cauca,1990,9,235.17021
Cauca,1990,10,336.1084
Cauca,1990,11,260.46075
Cauca,1990,12,285.27292
Cauca,1991,1,180.68552
Cauca,1991,2,167.70769
Cauca,1991,3,283.6906
Cauca,1991,4,253.67035
Cauca,1991,5,311.17664
Cauca,1991,6,263.76544
Cauca,1991,7,269.4773
Cauca,1991,8,165.48392
Cauca,1991,9,281.0772
Cauca,1991,10,239.5984
Cauca,1991,11,346.80032
Cauca,1991,12,270.33234
Cauca,1992,1,156.47173
Cauca,1992,2,149.46904
Cauca,1992,3,188.87506
Cauca,1992,4,280.01962
Cauca,1992,5,259.84042
Cauca,1992,6,178.07512
Cauca,1992,7,193.6539
Cauca,1992,8,206.0544
Cauca,1992,9,252.00522
Cauca,1992,10,270.29874
Cauca,1992,11,340.5515
Cauca,1992,12,217.52455
Cauca,1993,1,251.27242
Cauca,1993,2,221.9248
Cauca,1993,3,304.45206
Cauca,1993,4,329.65906
Cauca,1993,5,349.1617
Cauca,1993,6,218.97015
Cauca,1993,7,196.88809
Cauca,1993,8,191.91652
Cauca,1993,9,229.4645
Cauca,1993,10,297.36063
Cauca,1993,11,387.4197
Cauca,1993,12,300.5853
Cauca,1994,1,260.07208
Cauca,1994,2,199.16972
Cauca,1994,3,307.1462
Cauca,1994,4,347.67184
Cauca,1994,5,322.20535
Cauca,1994,6,222.94359
Cauca,1994,7,180.11475
Cauca,1994,8,144.57127
Cauca,1994,9,188.83696
Cauca,1994,10,310.65192
Cauca,1994,11,331.77432
Cauca,1994,12,264.20642
Cauca,1995,1,140.33842
Cauca,1995,2,136.34291
Cauca,1995,3,243.85643
Cauca,1995,4,344.0707
Cauca,1995,5,321.9347
Cauca,1995,6,268.54404
Cauca,1995,7,248.01596
Cauca,1995,8,166.153
Cauca,1995,9,195.19536
Cauca,1995,10,323.20667
Cauca,1995,11,327.3068
Cauca,1995,12,286.9799
Cauca,1996,1,297.57556
Cauca,1996,2,281.89343
Cauca,1996,3,315.53772
Cauca,1996,4,311.67133
Cauca,1996,5,370.07236
Cauca,1996,6,284.23605
Cauca,1996,7,180.62674
Cauca,1996,8,179.95714
Cauca,1996,9,203.95335
Cauca,1996,10,301.4343
Cauca,1996,11,213.38922
Cauca,1996,12,284.89767
Cauca,1997,1,295.32352
Cauca,1997,2,223.2501
Cauca,1997,3,245.17783
Cauca,1997,4,283.5295
Cauca,1997,5,300.7949
Cauca,1997,6,285.0058
Cauca,1997,7,137.71635
Cauca,1997,8,173.23415
Cauca,1997,9,232.6293
Cauca,1997,10,291.9567
Cauca,1997,11,312.871
Cauca,1997,12,161.30066
Cauca,1998,1,125.18106
Cauca,1998,2,237.28827
Cauca,1998,3,271.95865
Cauca,1998,4,334.7278
Cauca,1998,5,345.22787
Cauca,1998,6,227.36697
Cauca,1998,7,224.92352
Cauca,1998,8,209.72684
Cauca,1998,9,227.32469
Cauca,1998,10,270.4872
Cauca,1998,11,357.61716
Cauca,1998,12,260.7227
Cauca,1999,1,370.33087
Cauca,1999,2,423.78625
Cauca,1999,3,281.92728
Cauca,1999,4,377.65826
Cauca,1999,5,283.99637
Cauca,1999,6,303.3453
Cauca,1999,7,188.6967
Cauca,1999,8,158.1237
Cauca,1999,9,325.63177
Cauca,1999,10,274.44138
Cauca,1999,11,336.00204
Cauca,1999,12,296.1927
Cauca,2000,1,189.63046
Cauca,2000,2,256.5922
Cauca,2000,3,280.81113
Cauca,2000,4,279.4276
Cauca,2000,5,374.49713
Cauca,2000,6,280.56662
Cauca,2000,7,234.85028
Cauca,2000,8,209.54678
Cauca,2000,9,268.41537
Cauca,2000,10,248.54106
Cauca,2000,11,231.04077
Cauca,2000,12,261.6664
Cauca,2001,1,179.2485
Cauca,2001,2,143.03389
Cauca,2001,3,241.3852
Cauca,2001,4,225.17822
Cauca,2001,5,306.55228
Cauca,2001,6,225.12202
Cauca,2001,7,224.8894
Cauca,2001,8,106.106125
Cauca,2001,9,278.99304
Cauca,2001,10,205.43141
Cauca,2001,11,346.7971
Cauca,2001,12,314.2945
Cauca,2002,1,192.06161
Cauca,2002,2,156.59288
Cauca,2002,3,287.57468
Cauca,2002,4,343.1301
Cauca,2002,5,276.18982
Cauca,2002,6,220.10626
Cauca,2002,7,207.83286
Cauca,2002,8,165.78584
Cauca,2002,9,168.49469
Cauca,2002,10,318.92966
Cauca,2002,11,228.3042
Cauca,2002,12,267.98044
Cauca,2003,1,133.85274
Cauca,2003,2,175.66922
Cauca,2003,3,211.84233
Cauca,2003,4,293.0061
Cauca,2003,5,282.23022
Cauca,2003,6,283.53165
Cauca,2003,7,170.71112
Cauca,2003,8,181.37086
Cauca,2003,9,229.8798
Cauca,2003,10,345.5168
Cauca,2003,11,342.26907
Cauca,2003,12,238.99165
Cauca,2004,1,202.75441
Cauca,2004,2,122.77111
Cauca,2004,3,188.64244
Cauca,2004,4,295.73944
Cauca,2004,5,325.04333
Cauca,2004,6,188.7742
Cauca,2004,7,254.32822
Cauca,2004,8,116.28256
Cauca,2004,9,235.8263
Cauca,2004,10,329.04373
Cauca,2004,11,364.50046
Cauca,2004,12,233.66576
Cauca,2005,1,222.6326
Cauca,2005,2,198.01167
Cauca,2005,3,263.89703
Cauca,2005,4,329.26645
Cauca,2005,5,300.38937
Cauca,2005,6,232.27533
Cauca,2005,7,173.97774
Cauca,2005,8,159.34863
Cauca,2005,9,206.35808
Cauca,2005,10,334.26062
Cauca,2005,11,315.6906
Cauca,2005,12,300.20004
Cauca,2006,1,265.01172
Cauca,2006,2,198.95844
Cauca,2006,3,302.1733
Cauca,2006,4,339.7541
Cauca,2006,5,260.0938
Cauca,2006,6,239.58508
Cauca,2006,7,181.21599
Cauca,2006,8,150.8172
Cauca,2006,9,190.58495
Cauca,2006,10,277.02542
Cauca,2006,11,401.1811
Cauca,2006,12,350.28754
Cauca,2007,1,201.1775
Cauca,2007,2,85.52946
Cauca,2007,3,301.9773
Cauca,2007,4,338.5123
Cauca,2007,5,349.24493
Cauca,2007,6,220.43889
Cauca,2007,7,203.1728
Cauca,2007,8,194.90286
Cauca,2007,9,160.79294
Cauca,2007,10,393.59195
Cauca,2007,11,301.28967
Cauca,2007,12,314.4487
Cauca,2008,1,277.18216
Cauca,2008,2,244.20944
Cauca,2008,3,285.63895
Cauca,2008,4,309.6087
Cauca,2008,5,375.04276
Cauca,2008,6,283.8557
Cauca,2008,7,233.09622
Cauca,2008,8,227.11433
Cauca,2008,9,222.67752
Cauca,2008,10,308.13974
Cauca,2008,11,285.77173
Cauca,2008,12,269.34586
Cauca,2009,1,317.06573
Cauca,2009,2,250.54704
Cauca,2009,3,296.3035
Cauca,2009,4,260.5552
Cauca,2009,5,281.275
Cauca,2009,6,282.10123
Cauca,2009,7,202.69269
Cauca,2009,8,199.50536
Cauca,2009,9,145.38387
Cauca,2009,10,269.81516
Cauca,2009,11,289.8229
Cauca,2009,12,245.76582
Cauca,2010,1,125.38847
Cauca,2010,2,246.00894
Cauca,2010,3,223.76059
Cauca,2010,4,357.23102
Cauca,2010,5,311.93582
Cauca,2010,6,231.01389
Cauca,2010,7,321.4232
Cauca,2010,8,144.33472
Cauca,2010,9,213.92569
Cauca,2010,10,325.50394
Cauca,2010,11,412.95004
Cauca,2010,12,331.13055
Cauca,2011,1,187.32767
Cauca,2011,2,322.1808
Cauca,2011,3,254.04198
Cauca,2011,4,418.42804
Cauca,2011,5,318.20505
Cauca,2011,6,243.55629
Cauca,2011,7,248.72952
Cauca,2011,8,161.57895
Cauca,2011,9,224.87256
Cauca,2011,10,330.1067
Cauca,2011,11,342.45407
Cauca,2011,12,257.52136
Cauca,2012,1,348.50473
Cauca,2012,2,221.16283
Cauca,2012,3,269.32498
Cauca,2012,4,332.40405
Cauca,2012,5,191.92809
Cauca,2012,6,192.08205
Cauca,2012,7,174.20421
Cauca,2012,8,143.96355
Cauca,2012,9,113.01261
Cauca,2012,10,322.60098
Cauca,2012,11,284.3945
Cauca,2012,12,258.36316
Cauca,2013,1,150.94017
Cauca,2013,2,279.82135
Cauca,2013,3,282.9457
Cauca,2013,4,268.55234
Cauca,2013,5,390.61768
Cauca,2013,6,206.31282
Cauca,2013,7,220.93256
Cauca,2013,8,265.1902
Cauca,2013,9,208.37814
Cauca,2013,10,282.76468
Cauca,2013,11,320.84998
Cauca,2013,12,258.7682
Cauca,2014,1,230.33643
Cauca,2014,2,242.1674
Cauca,2014,3,302.63315
Cauca,2014,4,263.9566
Cauca,2014,5,364.93985
Cauca,2014,6,236.9619
Cauca,2014,7,173.61743
Cauca,2014,8,163.69833
Cauca,2014,9,183.12407
Cauca,2014,10,329.60834
Cauca,2014,11,307.08337
Cauca,2014,12,261.2609
Cauca,2015,1,249.47453
Cauca,2015,2,201.49957
Cauca,2015,3,270.83298
Cauca,2015,4,258.11313
Cauca,2015,5,227.07657
Cauca,2015,6,196.29173
Cauca,2015,7,200.9868
Cauca,2015,8,148.7129
Cauca,2015,9,156.58372
Cauca,2015,10,251.6841
Cauca,2015,11,318.25018
Cauca,2015,12,145.95572
Cauca,2016,1,159.058
Cauca,2016,2,151.59346
Cauca,2016,3,228.78517
Cauca,2016,4,300.23013
Cauca,2016,5,304.80045
Cauca,2016,6,242.4807
Cauca,2016,7,224.89432
Cauca,2016,8,168.76251
Cauca,2016,9,226.56996
Cauca,2016,10,308.491
Cauca,2016,11,310.3444
Cauca,2016,12,318.57452
Cauca,2017,1,320.40085
Cauca,2017,2,170.98076
Cauca,2017,3,410.82614
Cauca,2017,4,286.28723
Cauca,2017,5,339.86798
Cauca,2017,6,270.03235
Cauca,2017,7,168.3695
Cauca,2017,8,245.72897
Cauca,2017,9,214.3901
Cauca,2017,10,267.83902
Cauca,2017,11,286.77206
Cauca,2017,12,255.51627
Cauca,2018,1,223.0638
Cauca,2018,2,158.24638
Cauca,2018,3,220.57939
Cauca,2018,4,297.60046
Cauca,2018,5,348.83243
Cauca,2018,6,239.87285
Cauca,2018,7,206.06024
Cauca,2018,8,164.46771
Cauca,2018,9,170.99826
Cauca,2018,10,307.9396
Cauca,2018,11,370.8877
Cauca,2018,12,129.2335
Cauca,2019,1,187.05878
Cauca,2019,2,174.80742
Cauca,2019,3,294.98233
Cauca,2019,4,337.89868
Cauca,2019,5,370.77933
Cauca,2019,6,216.00992
Cauca,2019,7,210.89618
Cauca,2019,8,101.26412
Cauca,2019,9,209.87823
Cauca,2019,10,283.61032
Cauca,2019,11,371.99677
Cauca,2019,12,301.09555
Cauca,2020,1,131.88455
Cauca,2020,2,174.71277
Cauca,2020,3,164.1417
Cauca,2020,4,230.31334
Cauca,2020,5,294.73233
Cauca,2020,6,260.51907
Cauca,2020,7,312.5482
Cauca,2020,8,193.71045
Cauca,2020,9,170.26433
Cauca,2020,10,219.62097
Cauca,2020,11,287.06482
Cauca,2020,12,356.82956
Cauca,2021,1,201.74187
Cauca,2021,2,260.3302
Cauca,2021,3,388.23718
Cauca,2021,4,317.21375
Cauca,2021,5,281.09808
Cauca,2021,6,355.87888
Cauca,2021,7,203.9483
Cauca,2021,8,269.66898
Cauca,2021,9,243.30836
Cauca,2021,10,328.2014
Cauca,2021,11,350.79056
Cauca,2021,12,236.10605
Cauca,2022,1,231.1936
Cauca,2022,2,300.4531
Cauca,2022,3,301.82996
Cauca,2022,4,323.23737
Cauca,2022,5,287.26315
Cauca,2022,6,333.3671
Cauca,2022,7,291.62292
Cauca,2022,8,167.13814
Cauca,2022,9,228.99306
Cauca,2022,10,627.3606
Cauca,2022,11,315.8176
Cauca,2022,12,222.69824
Cauca,2023,1,314.3154
Cauca,2023,2,155.38072
Cauca,2023,3,348.20737
Cauca,2023,4,304.1008
Cauca,2023,5,312.82745
Cauca,2023,6,166.2863
Cauca,2023,7,226.52455
Cauca,2023,8,192.32365
Cauca,2023,9,158.57414
Cauca,2023,10,258.38843
Cauca,2023,11,290.60974
Cauca,2023,12,337.32422
Cauca,2024,1,104.82088
Cauca,2024,2,216.46857
Cauca,2024,3,200.50697
Cauca,2024,4,303.98798
Cauca,2024,5,340.11362
Cauca,2024,6,301.47812
Cauca,2024,7,176.24997
Cauca,2024,8,172.82465
Cauca,2024,9,150.92535
Cauca,2024,10,262.28424
Cauca,2024,11,240.04214
Cauca,2024,12,332.41415
Cauca,2025,1,213.53992
Cauca,2025,2,373.74783
Cauca,2025,3,344.6585
Cauca,2025,4,362.95807
Cauca,2025,5,299.03244
Cauca,2025,6,325.6666
Cauca,2025,7,143.39192
Cauca,2025,8,195.072
Cauca,2025,9,176.183
Cauca,2025,10,353.64926
Cauca,2025,11,378.82687
Cauca,2025,12,157.28009
Cauca,2026,1,393.9174
Cauca,2026,2,372.27725
